,V1,V2,V3,V4,V5,V6,V7,V8
https://www.class-central.com/mooc/1173/coursera-plagues-witches-and-war-the-worlds-of-historical-fiction,fiction,seminar,historical,holsinger,holsingers,professor,interacts,author
https://www.class-central.com/mooc/543/coursera-english-common-law-structure-and-principles,law,precedent,common,parliamentary,sovereignty,week,english,wales
https://www.class-central.com/mooc/4206/coursera-the-arduino-platform-and-c-programming,arduino,ide,shields,pins,board,sketch,debugging,observability
https://www.class-central.com/mooc/4371/coursera-foundations-of-strategic-business-analytics,analytics,business,credit,businessoriented,actionable,data,scoring,replicate
https://www.class-central.com/mooc/1172/coursera-the-kennedy-half-century,kennedy,legacy,assassination,kennedys,fifty,presidency,john,november
https://www.class-central.com/mooc/2741/coursera-operations-management,operations,inventory,management,module,supply,variability,covers,process
https://www.class-central.com/mooc/4297/coursera-data-visualization-and-communication-with-tableau,tableau,data,business,visualizations,visualization,analyses,presentations,presentation
https://www.class-central.com/mooc/4209/coursera-building-your-leadership-skills,leadership,savoirrelier,introspection,selfawareness,inspirational,conversation,selfconfidence,hec
https://www.class-central.com/mooc/4363/coursera-getting-started-with-essay-writing,essay,essays,comparecontrast,writing,causeeffect,write,argument,remember
https://www.class-central.com/mooc/4256/coursera-programming-and-the-web-for-beginners,web,javascript,html,css,page,sevenstep,images,module
https://www.class-central.com/mooc/4220/coursera-introduction-to-game-design,game,games,rules,player,enemy,week,gameplay,gaming
https://www.class-central.com/mooc/4389/coursera-data-science-in-real-life,data,analyses,perfect,contrasting,randomization,real,managing,life
https://www.class-central.com/mooc/4391/coursera-building-a-data-science-team,team,data,science,teams,quiz,worth,manage,centergood
https://www.class-central.com/mooc/3200/coursera-algorithmic-thinking-part-2,algorithms,algorithmic,programming,computational,comparison,clustering,transcend,class
https://www.class-central.com/mooc/3286/coursera-rethinking-international-tax-law,tax,planning,law,international,corporate,transfer,multinationals,pricing
https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes,project,scope,risks,risk,schedule,participating,management,wrap
https://www.class-central.com/mooc/712/coursera-introduction-to-international-criminal-law,lesson,international,crimes,readings,lecture,law,nuremberg,criminal
https://www.class-central.com/mooc/2452/coursera-introduction-to-sustainable-development,sustainable,countries,highincome,development,billion,dollars,growth,income
https://www.class-central.com/mooc/3007/coursera-astronomy-exploring-time-and-space,universe,astronomy,solar,astronomers,planets,space,terrestrial,galaxies
https://www.class-central.com/mooc/1361/coursera-paradoxes-of-war,war,wars,nationalism,usthem,warriors,imposition,social,battle
